stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
318057,CENTE1,CENTENARIO,-12.0827179,-77.0120111,0
325179,CEREZ,CEREZ,-12.004167,-77.0157518,0
325223,CEREZ2,CEREZOS,-12.004201,-77.015704,0
330412,CHICLA55,Chiclayo,-12.0148731,-77.0536726,0
318042,CHIPO2,CHIPOCO,-12.08146,-77.012093,0
318038,CHIPOCO,CHIPOCO,-12.0815284,-77.0121281,0
325006,CHIRA1,CHIRA,-12.021115,-77.015124,0
325074,CHIRA2,CHIRA,-12.0213153,-77.0151496,0
327005,CHOQ1,CHOQUEHUANCA - NS,-12.0554746,-77.0213269,0
330353,CHOQUEH,Choquehuanca,-12.0557249,-77.021094,0
327024,CHOQUI1,CHOQUEHUANCA,-12.0557311,-77.0156554,0
330388,CHOTA5,Chota,-12.0315538,-77.0225501,0
325180,CLAVE,CLAVE,-12.004968,-77.015286,0
325222,CLAVE2,CLAVELES,-12.005008,-77.015246,0
325220,CLE102,CLE102,-12.01079,-77.014213,0
330374,COLEGI0,COLEGIO,-12.0149714,-77.0152889,0
330378,COLEGIO0,Colegio,-12.0150329,-77.015326,0
325002,COLON1,LA COLONIA,-12.014033,-77.015704,0
330383,COMISA0,Comisaria,-12.0036619,-77.0201622,0
500328,COMISAR9,Comisaria,-12.0132866,-77.0055158,0
327017,CONDMON2,CONDE DE LA MONCLOVA - SN,-12.0611305,-77.02127,0
330341,CONDOM77,CONDOMINIOS,-12.0103858,-77.0230947,0
301016,CUBA1,CUBA,-12.0427397,-77.0209949,0
330344,CUBA36,Cuba,-12.0427666,-77.0213829,0
330410,CUSCO55,Cusco,-12.0201752,-77.0546702,0
500187,CUZCO,Cuzco,-12.0464,-77.0428,0
500188,CUZCO2,Cuzco,-12.0306637,-77.0143273,0
301015,DAGNI1,R. DAGNINO,-12.0416205,-77.0211659,0
301066,DAGNI2,R. DAGNINO,-12.0417206,-77.0210784,0
330396,DANS5,Dansey,-12.025203,-77.0353809,0
327007,DASS1,DASSO - NS,-12.06233,-77.022215,0
305014,DONBOSC2,DON BOSCO - SN,-12.0337455,-77.0249142,0
330399,DUAREZ5,Duarez,-12.0211994,-77.0357823,0
325182,EDUAR1,EDUAR1,-12.011214,-77.0143,0
330343,EDUAR11,Eduardo Dibos,-12.0111835,-77.0143767,0
325219,ELSOL22,ELSOL22,-12.0117,-77.014678,0
301071,EMANC2,EMANCIPACION,-12.0248041,-77.0215133,0
325202,ENCAL1,ENCALADA  -  NS,-12.013541,-77.014249,0
330116,ENCALA1,Encalada,-12.0133366,-77.0142752,0
301012,ESPAÑ1,ESPAÑA,-12.0327,-77.021752,0
301068,ESPAÑ2,ESPAÑA,-12.0331543,-77.02164,0
301001,ESTCENT1,ESTACIÓN CENTRAL 1   -  NS,-12.0331124,-77.0210941,0
301017,EVILLAR,E.VILLAR,-12.0435357,-77.0208732,0
330340,FAMANCAE,AMANCAES,-12.0133707,-77.0203479,0
318046,FANIN2,J.FANNING,-12.0748983,-77.0147266,0
330408,FAUCET5,Faucett,-12.0218877,-77.0555849,0
301065,FERNAN2,E.FERNANDEZ,-12.0425194,-77.020955,0
330380,FERREY0,Ferreyros,-12.0113318,-77.0142816,0
325232,FIN24JUN,Final 24 De Junio,-12.0102312,-77.0145203,0
325177,FLOAM,FLOAM,-12.002714,-77.020942,0
330395,GAMEN5,Galdeano y Mendoza,-12.0253783,-77.0342894,0
330362,GRAU301,GRAU,-12.0708969,-77.0206288,0
325226,GREPU,Guardia Republicana,-12.0147089,-77.0208398,0
325005,GREPU1,G. REPUBLICANA,-12.020442,-77.014696,0
325075,GREPU2,G. REPUBLICANA,-12.0206436,-77.0147248,0
325229,GREPU22,Guardia Republicana - SN,-12.014917,-77.0209247,0
305012,GRLVAL2,GRAL. VALERA - SN,-12.0358912,-77.0308961,0
314020,GUIDO,TOMAS GUIDO,-12.051201,-77.020326,0
314061,GUIDO61,TOMAS GUIDO,-12.0514075,-77.0202342,0
330432,GVEGA5,Garcilaso de la Vega,-12.0321636,-77.021981,0
330365,GVIDAL2,GENERAL VIDAL,-12.0653003,-77.0142636,0
327057,HABAN2,LA HABANA,-12.0559849,-77.0155589,0
330370,HABAN22,LA HABANA,-12.0559107,-77.015182,0
301013,HCAYO1,HUANCAYO,-12.0341522,-77.0216238,0
301189,HUAN61,HUANCAVELICA,-12.0242468,-77.0212494,0
301144,HUANC1,HUANCAVELICA,-12.0238015,-77.0209384,0
330413,HUANC55,Huancayo,-12.0150153,-77.052404,0
330405,HUANCA5,Huancayo,-12.014939,-77.0521757,0
305008,HUANCAB1,HUANCABAMBA - NS,-12.0359589,-77.0318201,0
330430,HUARA55,Huaraz,-12.0323432,-77.02415,0
330119,HVILLAR,H. Villaran,-12.0109406,-77.0153096,0
330225,HVILLAR2,H. Villaran,-12.0109505,-77.0152483,0
325008,ICA1,ICA,-12.0238533,-77.0209737,0
330411,ICA778,Ica,-12.0150376,-77.0541107,0
301010,ILO1,ILO,-12.0306368,-77.0219511,0
330426,INO88,Ino,-12.0304234,-77.0317158,0
305003,IQUIQ1,IQUIQUE - NS,-12.0334389,-77.023635,0
330389,IQUIQ5,Iquique,-12.0316376,-77.0237021,0
330414,IQUIT45,Huancayo,-12.0151661,-77.0511864,0
330404,IQUIT55,Iquitos,-12.0151103,-77.0506371,0
330371,JARON22,JUAN DE ARONA,-12.0549636,-77.0153314,0
330390,JCHAV5,Jorge Chavez,-12.0317492,-77.0250143,0
330347,JOBERNA,Joaquin Bernal,-12.0512581,-77.0207165,0
314001,JOSLEAL1,JOSE LEAL - NS,-12.0504773,-77.0208479,0
